id	title	brand	link	price	description	image_link	mpn	gtin	availability	condition	product_type	product_category	custom_label_0
A846U-X	4th of July - 4th of July Cards	Posty Cards Inc.	https://postycards.com/catalog/product/4th_of_July_846U	37.00 USD	"This patriotic 4th of July card is the perfect way to stay in touch during the summer months. Featuring FSC&reg; certified paper and silver foil embossing.
Includes 26 white envelopes for every 25 cards ordered."	https://postycards.com/images/fck/Exterior/2008%20AO/846.jpg	846U-X		In Stock	New	4th of July Card	Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards	15Off
A846U-X	4th of July - 4th of July Cards	Posty Cards Inc.	https://postycards.com/catalog/product/4th_of_July_846U	37.00 USD	"This patriotic 4th of July card is the perfect way to stay in touch during the summer months. Featuring FSC&reg; certified paper and silver foil embossing.
Includes 26 white envelopes for every 25 cards ordered.
Please note: If you have purchased this card in the past, the previous paper has been discontinued. The new paper is a heavier cardstock that is not quite as shiny."	https://postycards.com/images/fck/Exterior/2008%20AO/846.jpg	A846U-X		In Stock	New	4th of July Card	Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards	15Off
163D-X	4th of July Nostalgia - 4th of July Cards	Posty Cards Inc.	https://postycards.com/catalog/product/4th_of_July_Nostalgia_163D	37.00 USD	"This Independence Day card features a bald eagle with an American flag and gold foil embossing. Printed on FSC&reg; certified paper.
Includes 26 white envelopes for every 25 cards ordered."	https://postycards.com/images/fck/Exterior/2011%20AO/163.jpg	163D-X		In Stock	New	4th of July Card	Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards	15Off
A2051U-X	American Spirit - 4th of July Cards	Posty Cards Inc.	https://postycards.com/catalog/product/American_Spirit_A2051U	37.00 USD	"This 4th of July card shows an American flag waving proudly. Featuring FSC&reg; certified paper and silver foil embossing.
Includes 26 white envelopes for every 25 cards ordered."	https://postycards.com/images/fck/Exterior/2012%20AO/A2051.jpg	A2051U-X		In Stock	New	4th of July Card	Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards	15Off
A5070U-X	Banner 4th of July - 4th of July Cards	Posty Cards Inc.	https://postycards.com/catalog/product/Banner_4th_July_A5070U	37.00 USD	"A retro 4th of July card featuring silver textured foil embossing and printed on FSC&reg; certified paper.
Includes 26 white envelopes for every 25 cards ordered."	https://postycards.com/images/fck/Exterior/2015%20AO/A5070.jpg	A5070U-X		In Stock	New	4th of July Card	Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards	15Off
D4076D-Y	Celebrate Freedom - 4th of July Cards	Posty Cards Inc.	https://postycards.com/catalog/product/Celebrate_Freedom_D4076D	33.00 USD	"This patriotic card could be used for the 4th of July, Memorial Day, or Veteran's Day. Featuring FSC&reg; certified paper.
Includes 26 white envelopes for every 25 cards ordered."	https://postycards.com/images/fck/Exterior/2014%20AO/D4076.jpg	D4076D-Y		In Stock	New	4th of July Card	Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards	15Off
D4093D-Y	Celebrating Our Customers - 4th of July Cards	Posty Cards Inc.	https://postycards.com/catalog/product/Celebrating_Our_Customers_D4093D	33.00 USD	"Celebrate your customers with a spectacular fireworks display. Featuring FSC&reg; certified paper.
Includes 26 white envelopes for every 25 cards ordered."	https://postycards.com/images/fck/Exterior/2014%20AO/D4093.jpg	D4093D-Y		In Stock	New	4th of July Card	Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards	15Off
940U-X	Fireworks - 4th of July Cards	Posty Cards Inc.	https://postycards.com/catalog/product/Fireworks_940UX	37.00 USD	"A 4th of July card featuring a festive fireworks display and silver sparkle foil embossing. Printed on FSC&reg; certified paper.
Includes 26 white envelopes for every 25 cards ordered."	https://postycards.com/images/fck/Exterior/2009%20AO/940.jpg	940U-X		In Stock	New	4th of July Card	Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards	15Off
967D-Y	Fourth of July Monument - 4th of July Cards	Posty Cards Inc.	https://postycards.com/catalog/product/Fourth_of_July_Monument_967DY	33.00 USD	"This patriotic card features fireworks and the Washington Monument. Printed on FSC&reg; certified paper.
Includes 26 white envelopes for every 25 cards ordered."	https://postycards.com/images/fck/Exterior/2009%20AO/967.jpg	967D-Y		In Stock	New	4th of July Card	Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards	15Off
A6045U-X	Happy 4th - 4th of July Cards	Posty Cards Inc.	https://postycards.com/catalog/product/Happy_4th_A6045U	37.00 USD	"This festive Independence Day card features Lady Liberty, a brilliant fireworks display and gold holographic glitter foil embossing. Printed on FSC&reg; certified paper.
Includes 26 white envelopes for every 25 cards ordered."	https://postycards.com/images/fck/Exterior/2016%20AO/A6045U.jpg	A6045U-X		In Stock	New	4th of July Card	Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards	15Off
X48D-X	Happy Birthday America - 4th of July Cards	Posty Cards Inc.	https://postycards.com/catalog/product/Happy_Birthday_America_X48D	37.00 USD	"This patriotic Independence Day card features fireworks and blue holographic foil embossing. Printed on FSC&reg; certified paper.
Includes 26 white envelopes for every 25 cards ordered."	https://postycards.com/images/fck/Exterior/2010%20AO/X48.jpg	X48D-X		In Stock	New	4th of July Card	Arts & Entertainment > Party & Celebration > Gift Giving > Greeting & Note Cards	15Off
